,Episode name,Season,Number,Release date,Score
247,Rock Never Dies,12,7,1 Dec. 2016,7.5
248,LOTUS,12,8,8 Dec. 2016,8.1
249,First Blood,12,9,26 Jan. 2017,8.2
250,Lily Sunder Has Some Regrets,12,10,2 Feb. 2017,8.2
251,Regarding Dean,12,11,9 Feb. 2017,9.0
252,Stuck in the Middle (With You),12,12,16 Feb. 2017,9.0
253,Family Feud,12,13,23 Feb. 2017,7.7
254,The Raid,12,14,2 Mar. 2017,8.5
255,Somewhere Between Heaven and Hell,12,15,9 Mar. 2017,8.2
256,Ladies Drink Free,12,16,30 Mar. 2017,8.0
257,The British Invasion,12,17,6 Apr. 2017,8.2
258,The Memory Remains,12,18,13 Apr. 2017,8.0
259,The Future,12,19,27 Apr. 2017,8.2
260,Twigs & Twine & Tasha Banes,12,20,4 May 2017,8.1
261,There's Something About Mary,12,21,11 May 2017,7.0
262,Who We Are,12,22,18 May 2017,9.0
263,All Along the Watchtower,12,23,18 May 2017,8.9
264,Lost and Found,13,1,12 Oct. 2017,8.8
265,The Rising Son,13,2,19 Oct. 2017,8.5
266,Patience,13,3,26 Oct. 2017,8.2
267,The Big Empty,13,4,2 Nov. 2017,8.6
268,Advanced Thanatology,13,5,9 Nov. 2017,8.7
269,Tombstone,13,6,16 Nov. 2017,8.3
270,War of the Worlds,13,7,23 Nov. 2017,8.5
271,The Scorpion and the Frog,13,8,30 Nov. 2017,8.4
272,The Bad Place,13,9,7 Dec. 2017,8.9
273,Wayward Sisters,13,10,18 Jan. 2018,8.3
274,Breakdown,13,11,25 Jan. 2018,8.3
275,Various & Sundry Villains,13,12,1 Feb. 2018,8.2
276,Devil's Bargain,13,13,8 Feb. 2018,8.3
277,Good Intentions,13,14,1 Mar. 2018,8.3
278,A Most Holy Man,13,15,8 Mar. 2018,8.1
279,ScoobyNatural,13,16,29 Mar. 2018,9.6
280,The Thing,13,17,5 Apr. 2018,8.4
281,Bring 'em Back Alive,13,18,12 Apr. 2018,8.6
282,Funeralia,13,19,19 Apr. 2018,8.2
283,Unfinished Business,13,20,26 Apr. 2018,8.1
284,Beat the Devil,13,21,3 May 2018,8.9
285,Exodus,13,22,10 May 2018,8.3
286,Let the Good Times Roll,13,23,17 May 2018,8.6
287,Stranger in a Strange Land,14,1,11 Oct. 2018,8.1
288,Gods and Monsters,14,2,18 Oct. 2018,8.0
289,The Scar,14,3,25 Oct. 2018,7.9
290,Mint Condition,14,4,1 Nov. 2018,8.8
291,Nightmare Logic,14,5,8 Nov. 2018,8.0
292,Optimism,14,6,15 Nov. 2018,8.0
293,Unhuman Nature,14,7,29 Nov. 2018,8.2
294,Byzantium,14,8,6 Dec. 2018,8.5
295,The Spear,14,9,13 Dec. 2018,8.2
296,Nihilism,14,10,17 Jan. 2019,8.7
297,Damaged Goods,14,11,24 Jan. 2019,8.2
298,Prophet and Loss,14,12,31 Jan. 2019,8.2
299,Lebanon,14,13,7 Feb. 2019,9.3
300,Ouroboros,14,14,7 Mar. 2019,8.6
301,Peace of Mind,14,15,14 Mar. 2019,8.6
302,Don't Go in the Woods,14,16,21 Mar. 2019,8.0
303,Game Night,14,17,4 Apr. 2019,7.8
304,Absence,14,18,11 Apr. 2019,7.8
305,Jack in the Box,14,19,18 Apr. 2019,8.1
306,Moriah,14,20,25 Apr. 2019,9.3
307,Back and to the Future,15,1,10 Oct. 2019,8.3
308,Raising Hell,15,2,17 Oct. 2019,7.5
309,The Rupture,15,3,24 Oct. 2019,8.5
310,Atomic Monsters,15,4,7 Nov. 2019,8.5
311,Proverbs 17:3,15,5,14 Nov. 2019,8.7
312,Golden Time,15,6,21 Nov. 2019,8.3
313,Last Call,15,7,5 Dec. 2019,8.4
314,"Our Father, Who Aren't in Heaven",15,8,12 Dec. 2019,8.7
315,The Trap,15,9,16 Jan. 2020,8.4
316,The Heroes' Journey,15,10,23 Jan. 2020,8.2
317,The Gamblers,15,11,30 Jan. 2020,8.4
318,Galaxy Brain,15,12,16 Mar. 2020,7.6
319,Destiny's Child,15,13,23 Mar. 2020,8.4
320,Last Holiday,15,14,8 Oct. 2020,8.7
321,Gimme Shelter,15,15,15 Oct. 2020,7.7
322,Drag Me Away (From You),15,16,22 Oct. 2020,7.3
323,Unity,15,17,29 Oct. 2020,8.5
324,Despair,15,18,5 Nov. 2020,8.6
325,Inherit the Earth,15,19,12 Nov. 2020,8.1
326,Carry On,15,20,19 Nov. 2020,6.2
